District,School_Number,SCHOOL_NAME,Grade,Female (w),Male (w),Female (b),Male (b),Female (h),Male (h),Female (a),Male (a),Female (pi),Male (pi),Female (na),Male (na),Female (2+),Male (2+),Female (tot),Male (tot),Total
DADE,7018,MATER ACADEMY LAKES HIGH SCHOOL,12,9,11,2,4,109,94,1,,,,,,,,121,109,230
DADE,7020,DORAL ACADEMY CHARTER HIGH SCHOOL,12,9,7,1,2,146,141,,1,,,,,,,156,151,307
DADE,7022,ACADEMY OF ARTS & MINDS,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7022,ACADEMY OF ARTS & MINDS,12,7,5,2,4,41,17,,,,,,,,1,50,27,77
DADE,7029,TERRA ENVIRONMENTAL RESEARCH INSTITUTE,12,28,34,4,7,145,172,10,9,,,,,4,2,191,224,415
DADE,7032,PALM GLADES PREPARATORY ACADEMY HIGH SCHOOL,12,,1,1,,9,11,,,,,,,,,10,12,22
DADE,7033,LAW ENFORCEMENT OFFICERS MEMORIAL HIGH SCHOOL,12,4,2,14,4,36,24,,1,,,,,,,54,31,85
DADE,7034,SOMERSET ACADEMY CHARTER HIGH SCHOOL (SOUTH HOMESTEAD),12,1,2,,2,6,3,,,,,,,,,7,7,14
DADE,7037,MATER ACADEMY EAST CHARTER HIGH SCHOOL,12,4,,1,1,36,36,1,,,,,,,,42,37,79
DADE,7041,SCHOOL FOR ADVANCED STUDIES-WOLFSON,12,5,2,6,2,19,18,2,,,,,,,,32,22,54
DADE,7042,SOMERSET ACADEMY CHARTER HIGH SCHOOL,12,4,2,3,2,33,39,,,,,,,,,40,43,83
DADE,7048,ALONZO AND TRACY MOURNING SENIOR HIGH BISCAYNE BAY CAMPUS,12,51,45,36,31,115,82,2,4,,,,,,,204,162,366
DADE,7049,WESTLAND HIALEAH SENIOR HIGH SCHOOL,12,3,1,1,,165,145,1,,,,,,,,170,146,316
DADE,7050,KEYS GATE CHARTER HIGH SCHOOL,12,12,18,15,17,61,74,,,,,,,,,88,109,197
DADE,7051,G. HOLMES BRADDOCK SENIOR HIGH,12,16,13,2,9,320,290,1,3,,,,,,,339,315,654
DADE,7053,PINECREST PREPARATORY ACADEMY CHARTER HIGH SCHOOL,12,2,3,,,41,39,,,,,,,,,43,42,85
DADE,7055,YOUNG WOMENS PREPARATORY ACADEMY,12,3,,5,,22,,,,,,,,,,30,0,30
DADE,7056,YOUNG MEN'S PREPARATORY ACADEMY,12,,1,,12,,6,,,,,,,,,0,19,19
DADE,7058,MIAMI COMMUNITY CHARTER HIGH SCHOOL,12,2,1,,1,17,16,,,,,,,,,19,18,37
DADE,7059,MIAMI ARTS CHARTER,12,8,6,6,4,16,13,1,,,,,,,,31,23,54
DADE,7060,EVERGLADES PREPARATORY ACADEMY HIGH SCHOOL,12,3,2,,1,15,18,,,,,,,,,18,21,39
